Well_No,Latitude,Longitude,Well_Depth,Top_Depth,Bottom_Depth,Pay_thickness ,Porosity,Water_Sat,Permeability
29666,40.175046,-104.649316,7357,6874,7114,240,12.5,46.42729057,0.435935936
23198,40.17987,-104.64232,7284,6807,7070,263,8.333333333,66.95028849,0.014946052
23197,40.18019,-104.64726,7279,6829,7060,231,9.523809524,66.5757,0.03367297
26545,40.182316,-104.654276,7307,6855,7067,212,8.333333333,63.2455532,0.008143382
23249,40.17652,-104.65668,7312,6825,7054,229,10.11904762,71.41176471,0.054949898
23252,40.18023,-104.65679,7329,6825,7065,240,8.928571429,72.64083459,0.018620891
23248,40.17628,-104.65205,7333,6825,7048,223,7.738095238,67.29398787,0.004634178
23250,40.17826,-104.65431,7280,6825,6998,173,8.928571429,65.17843958,0.020966842
29668,40.175071,-104.654431,7281,6885,7065,180,7.738095238,61.32061087,0.006553157
29729,40.176411,-104.656642,7947,6953,7180,227,12.85645788,45.42729057,0.535935936
23196,40.17661,-104.64698,7301,6830,7042,212,10.11904762,60.11226912,0.06606484
23217,40.176429,-104.642087,7307,6808,7050,242,9.523809524,65.49422437,0.026457572
26519,40.182058,-104.64458,7750,6840,7080,240,8.928571429,60.0879227,0.031553182
23204,40.17829,-104.64486,7286,6809,7048,239,9.523809524,65.03495393,0.027459061
29947,40.18862,-104.64479,7795,6831,7021,190,11.28571429,56.13969607,0.567539354
26480,40.18195,-104.640708,7737,6828,7084,256,8.928571429,64.13724339,0.022804783
26481,40.178182,-104.640525,7739,6853,7049,196,8.928571429,70.0879227,0.031553182
29665,40.175026,-104.644934,7797,6850,7086,236,8.11904762,70.04123931,0.052251139
26479,40.185383,-104.650168,7305,6868,7065,197,8.333333333,58.69391857,0.011942268
26310,40.182478,-104.650503,7283,6843,7056,213,9.523809524,51.85580382,0.035457323
29099,40.185529,-104.658469,7752,6855,7056,201,13.82857143,46.13969607,0.567539354
24353,40.1999,-104.62182,7290,6851,7061,210,8.333333333,68.06257456,0.009804586
34817,40.2013,-104.62323,8832,7921,8077,156,8.17927732,55.87859737,0.013952029
34818,40.2014,-104.62305,8509,7567,7774,207,13.92763339,41.06945976,1.445004596
34819,40.20146,-104.62299,8217,7237,7508,271,13.896879,44.8688946,1.445004596
34820,40.20125,-104.62329,8128,7243,7431,188,14.08312571,61.96345419,0.102142794
34821,40.20138,-104.62311,7930,7069,7217,148,12.25316723,55.47382912,0.043952029
34822,40.20134,-104.62317,8328,7410,7655,245,12.96409238,54.06336647,0.27451306
27395,40.19993,-104.62182,7845,6952,7160,208,11.66266273,59.54285209,0.05967521
18925,40.20207,-104.63238,7728,6852,7130,278,10.11904762,59.14268209,0.021942268
22958,40.19438,-104.62358,7965,6838,7040,202,10.73374486,44.0807503,0.106807018
24869,40.19289,-104.63133,7325,6850,7065,215,8.280300519,58.52577074,0.011803662
18926,40.20215,-104.63832,7280,6908,7081,173,14.28571429,46.57704894,0.547923152
29677,40.194869,-104.627849,7750,6818,7054,236,9.867887333,58.69391857,0.011942268
29678,40.194791,-104.627834,7415,6903,7151.5,248.5,13.12076879,54.04328313,0.501737528
22419,40.19449,-104.63788,7268,6828,7038,210,13.74564812,44.8775395,0.658945496
27403,40.19835,-104.62359,7750,6860,7067,207,8.58587206,64.97997213,0.039034124
24277,40.19835,-104.62364,7435,7000,7192,192,8.067238714,66.55424601,0.019945019
17931,40.19772,-104.6325,7273,6837,7044,207,14.39285714,46.47342912,0.426797976
23084,40.19066,-104.62445,7940,6890,7115,225,10.11246313,47.88545772,0.061931041
22417,40.19033,-104.63248,7335,6899,7086,187,8.028634921,60.49554192,0.008858951
29355,40.197789,-104.638436,7828,6946,7155,209,9.811904762,60.11226912,0.00606484
29382,40.197721,-104.638432,7715,6845,7060,215,8.828634921,60.49554192,0.008876786
16384,40.19937,-104.63646,7914,6825,7084,259,12.7866578,46.42729057,0.435935936
23085,40.19098,-104.62831,7972,6902,7120,218,12.45647564,48.87615982,0.378935992
22418,40.19086,-104.63782,7285,6875,7040,165,11.83742447,67.442053,0.221826198
16728,40.20181,-104.60476,7175,6722,6974,252,11.25316723,56.47382912,0.043952029
15753,40.201633,-104.614839,7240,6824,6976,152,12.09868679,54.47382912,0.043952029
34348,40.19571,-104.60356,7697,6755,6981.5,226.5,11.09043948,42.66174382,0.136639663
17436,40.194331,-104.60519,7223,6774,6980,206,16.07142857,46.37782912,0.558945496
16933,40.20148,-104.60981,7213,6742,6978,236,13.28571429,46.27704894,0.271826198
16895,40.19459,-104.61955,7278,6800,7025,225,14.89789687,42.42729057,0.835935936
35379,40.1946,-104.61972,11344,6978,7210,232,15.45647564,41.87615982,0.878935992
35380,40.1946,-104.61986,11317,7083,7292,209,16.45648688,40.87615982,0.878935992
19882,40.19794,-104.60492,7229,6852,6944,92,13.17857143,42.82933556,0.945774064
14608,40.199617,-104.615717,7803,6820,7034,214,10.71428571,47.88545772,0.031997898
15754,40.198014,-104.614694,7238,6794,6955,161,10.25316723,56.47382912,0.043952029
26213,40.198153,-104.614694,7855,6944,7219,275,8.333333333,58.69391857,0.011942268
33070,40.19187,-104.60632,7855,6896,7111,215,8.928571429,50.59644256,0.03029524
33077,40.19194,-104.60631,7804,6888,7097,209,13.60714286,52.77249111,0.345370474
16896,40.190403,-104.614273,7242,6766,7002,236,9.523809524,67.88545772,0.031997804
19837,40.19753,-104.61081,7235,6791,6987,196,11.60714286,52.53977905,0.248109988
18225,40.197531,-104.618319,7886,6844,7104,260,7.142857143,65.39406135,0.005146516
18948,40.197508,-104.617756,7700,7286,7543,257,6.547619048,69.71014368,0.001735026
24447,40.19247,-104.612,7629,6783,6990,207,7.738095238,78.07317777,0.006144701
11996,40.19164,-104.61769,7640,6812,7004,192,13.28571429,57.47382912,0.043897695
19508,40.201997,-104.641686,7295,6857,7102,245,13.63928571,48.10456929,0.4744368
24775,40.194995,-104.642031,7830,6937,7193,256,11.09043948,52.67868596,0.013663966
16431,40.193487,-104.643786,7932,6864,7110,246,13.28571429,63.442053,0.221826198
29214,40.194907,-104.64204,7710,6895,7095,200,14.54177057,41.0802099,0.919869518
29215,40.194835,-104.642022,7855,6952,7218,266,8.656757833,58.87867666,0.012897987
25904,40.196182,-104.650268,7728,6795,7130,335,8.333333333,58.55400438,0.012080836
26663,40.194545,-104.652273,7285,6819,7050,231,9.523809524,53.16881677,0.031913106
19515,40.194489,-104.647025,7280,6836,7050,214,13.73928571,42.27769883,0.599732434
26666,40.194819,-104.656452,7288,6824,7070,246,7.411317975,69.57541569,0.002884626
26825,40.196383,-104.654475,7291,6796,7070,274,13.60714286,54.27242646,0.37251231
14104,40.19778,-104.64222,7255,6851,7020,169,7.038095238,78.98756073,0.005144701
14393,40.199336,-104.644592,7730,6808,6994,186,8.786886333,62.58679595,0.012080836
19517,40.190325,-104.6419,7725,6827,7040,213,13.83928571,48.07953439,0.427771012
25903,40.189378,-104.650233,7318,6826,7058,232,8.104902714,65.21055973,0.006140734
26665,40.190944,-104.652307,7286,6841,6932,91,7.086547619,69.87986571,0.001567474
29216,40.197939,-104.647156,8057,7242,7348,106,9.68352381,54.86816882,0.037891913
29217,40.198103,-104.647158,7820,6957,7209,252,11.88689609,52.34566787,0.019878337
24735,40.198019,-104.64715,7725,6852,7075,223,12.57857568,47.83952833,0.390234672
19516,40.190822,-104.648044,7755,6847,7079,232,13.66266273,54.34565429,0.063356968
7250,40.19093,-104.65689,7814,6855,7121,266,7.987570865,69.8976888,0.001956747
26664,40.192509,-104.65484,7296,6822,7095,273,9.523809524,47.92572378,0.048564837
25902,40.189505,-104.654461,7762,6842,7126,284,9.523809524,47.92572378,0.048564837
19326,40.187548,-104.604505,7230,6792,6984,192,11.88867869,54.34566787,0.01833664
36300,40.188191,-104.604549,11466,7099,7303,204,16.56486878,40.76587616,0.742893599
36292,40.18806,-104.604418,16651,6894,7082,188,16.98656487,40.26587616,0.787428936
19099,40.180368,-104.605915,7668,6783,7040,257,9.523809524,48.95650243,0.044717024
35253,40.17813,-104.61669,7905,6915,7150,235,12.82243286,57.65473829,0.04434639
35254,40.17813,-104.61677,7960,7000,7224,224,12.56546,52.00705032,0.20790766
32515,40.17968,-104.61483,7720,6810,7008,198,11.12356253,56.76754738,0.042395203
32543,40.17972,-104.6149,7836,6844,7070,226,13.22432857,57.65473829,0.04434639
19337,40.187638,-104.610605,7214,6770,7039,269,10.71428571,47.87898976,0.078083377
36408,40.188394,-104.610912,16517,6856,7052,196,16.76456987,40.12352659,0.789874289
36417,40.188476,-104.610726,11490,6883,7077,194,15.56486878,40.52348762,0.67578936
32437,40.18593,-104.61768,7854,6926,7148,222,8.875656758,58.88786767,0.012897987
32438,40.1859,-104.61751,7896,7082,7250,168,9.764714286,59.87898976,0.068083377
32465,40.18592,-104.6176,7704,6791,7041,250,9.028634921,60.49554192,0.008858951
19100,40.179368,-104.609365,7215,6778,6985,207,8.646333333,60.86849554,0.008785895
32514,40.18017,-104.62017,7795,6873,7114,241,9.326463333,60.86849554,0.008785895
32544,40.18017,-104.62008,7862,6924,7180,256,9.723809524,66.86849554,0.07858951
19307,40.182878,-104.605185,7260,6783,6970,187,11.60714286,65.67472381,0.34958301
