Well_No,Total_Days_of_Production,Total_Prodcution ,Oil_Production_Rate,Water_Production 
7250,2444,53670,22,0
11996,2013,117630,58,1719
12550,3417,66420,19,899
14090,1624,58290,36,0
14104,5042,76680,15,1435
14219,5003,229020,46,386
14393,3006,94500,31,458
14608,1028,28032,27,350
15753,4972,250650,50,1394
15754,4995,266190,53,2250
15840,4986,301620,60,2154
16384,4867,427350,88,783
16431,5113,309450,61,1394
16728,4183,223710,53,706
16895,2948,282150,96,701
16896,1688,45180,27,197
16933,4779,304410,64,1177
17057,4775,285150,60,356
17058,4610,191220,41,409
17436,5004,370350,74,1932
17931,4757,460680,97,1222
18225,4027,93330,23,812
18925,4999,234870,47,600
18926,4582,332940,73,783
18948,4138,81090,20,1047
19006,5085,308820,61,1204
19007,5076,249390,49,3398
19076,4713,82830,18,932
19099,4759,119400,25,821
19100,4699,195030,42,2125
19101,5038,135690,27,1322
19129,4938,377430,76,466
19130,4912,271020,55,1142
19307,4831,342870,71,2308
19308,4394,98790,22,975
19326,4871,229710,47,1180
19337,4885,214800,44,2078
19508,5136,503730,98,753
19515,5167,435810,84,4169
19516,5157,410760,80,4169
19517,5192,357810,69,1431
19837,2016,149670,74,1151
19882,3070,222000,72,982
22258,3113,87012,28,1485
22417,387,16044,41,1550
22418,2274,138030,61,696
22419,1527,108330,71,406
22958,2148,48774,23,450
23084,2198,55386,25,1301
23085,2739,238170,87,1534
23196,2816,100560,36,2973
23197,2882,93306,32,1793
23198,2843,90306,32,1883
23204,2779,83274,30,1445
23217,2756,73152,27,1271
23248,2776,82758,30,1759
23249,2817,79716,28,1731
23250,2834,83820,30,1778
23252,2635,65448,25,1237
24277,2380,66636,28,1274
24353,2392,53718,22,2005
24447,2334,10200,4,357
24735,1601,80250,50,1026
24775,1606,75750,47,526
24869,2064,53460,26,1167
25902,1885,54948,29,3751
25903,1847,66384,36,1229
25904,1584,48492,31,2618
26213,2044,77388,38,607
26310,1832,58800,32,1452
26479,2097,92316,44,1346
26480,1962,62868,32,1729
26481,1934,48444,25,1275
26519,1995,68322,34,1908
26545,2045,70710,35,1414
26663,1968,72774,37,1760
26664,2011,55374,28,1852
26665,2025,44052,22,1428
26666,1932,69582,36,1676
26825,1875,169410,90,1682
27395,2427,189510,78,281
27403,2384,67794,28,1294
29099,1742,127650,73,2112
29214,1623,84414,52,1466
29215,1544,48582,31,539
29216,1558,59736,38,743
29217,1584,73692,47,960
29355,1522,55068,36,491
29382,1471,59766,41,516
29665,1077,21642,20,1682
29666,1107,93390,84,352
29668,1288,63294,49,1044
29677,1525,62616,41,3210
29678,1464,73980,51,1525
29712,1364,53454,39,661
29713,1388,45882,33,878
29714,1336,39288,29,401
29729,1298,126960,98,1570
29947,538,37962,71,4049
31677,375,17292,46,1057
31866,693,25968,37,0
31878,615,36780,60,1947
31881,589,34404,58,4809
31882,422,13146,31,1392
31884,611,34980,57,3104
31900,416,12450,30,1016
32437,745,22146,30,1650
32438,791,35394,45,3329
32465,785,31932,41,2606
32514,755,33132,44,3555
32515,694,37350,54,2404
32543,715,40638,57,3205
32544,752,26448,35,3632
33070,513,16278,32,3250
33077,509,40506,80,2180
34348,565,25542,45,4549
34741,538,26616,49,211
34817,446,21060,47,2361
34818,480,33600,70,3481
34819,482,33978,70,3495
34820,458,39936,87,3826
34821,499,28332,57,3399
34822,489,33138,68,3787
35253,394,22722,58,2164
35254,430,25746,60,1699
35379,368,216552,118,8342
35380,371,250596,135,9624
36292,172,285996,277,814
36300,167,153936,184,483
36349,205,175872,172,446
36350,200,188982,189,751
36351,205,166956,163,71
36352,205,137388,134,614
36381,181,163320,180,479
36382,154,111498,145,375
36408,184,231276,251,620
36417,178,137202,154,417
